,frame_length_mean,eth_type,vlan_id,vlan_priority,ip_version,ip_dscp,ip_ecn,ip_total_length_mean,ip_id_mean,ip_df,ip_mf,fragment_offset,ttl_mean,ip_protocol,ip_header_length,ip_checksum_valid,src_port,dst_port,tcp_window_mean,tcp_header_length_mean,l4_checksum_valid,flow_duration,flow_packet_count,flow_byte_count,forward_packet_count,reverse_packet_count,forward_byte_count,reverse_byte_count,iat_min,iat_mean,iat_max,iat_std,byte_rate,flow_direction,syn_count,ack_count,fin_count,rst_count,psh_count,syn_seen,syn_ack_seen,ack_after_syn_ack
0,150.46153846153845,2048.0,,,4.0,0.0,0.0,136.46153846153845,3909.923076923077,1.0,0.0,0.0,62.61538461538461,6.0,20.0,1.0,35078,80,9126.076923076924,34.46153846153846,1.0,236.58324694633484,13,1956,9,4,1684,272,7.891654968261719e-05,19.71527057886124,110.0013837814331,39.119383639049175,8.267702913231584,1,4,10,1,0,4,1,1,1
1,336.7368421052632,2048.0,,,4.0,0.0,0.0,322.7368421052632,42295.89473684211,1.0,0.0,0.0,59.21052631578947,6.0,20.0,1.0,49622,443,24188.0,33.05263157894737,1.0,0.648453950881958,19,6398,12,7,1995,4403,9.5367431640625e-07,0.0360252194934421,0.5142691135406494,0.116759537595359,9866.544866136015,1,2,18,1,0,9,1,1,1
2,66.0,2048.0,,,4.0,0.0,0.0,52.0,6956.0,1.0,0.0,0.0,62.0,6.0,20.0,1.0,51980,80,304.0,32.0,1.0,2.1457672119140625e-06,3,198,3,0,198,0,9.5367431640625e-07,1.0728836059570312e-06,1.1920928955078125e-06,1.1920928955078125e-07,92274688.0,0,0,3,0,1,0,0,0,0
3,66.0,2048.0,,,4.0,0.0,0.0,52.0,48404.5,1.0,0.0,0.0,62.0,6.0,20.0,1.0,49088,80,345.5,32.0,1.0,0.0030469894409179,6,396,6,0,396,0,2.86102294921875e-06,0.0006093978881835,0.0010168552398681,0.0004947525495314,129964.34929577463,0,0,6,0,1,0,0,0,0
4,66.0,2048.0,,,4.0,0.0,0.0,52.0,21127.5,1.0,0.0,0.0,62.0,6.0,20.0,1.0,37060,80,251.0,32.0,1.0,0.000993013381958,2,132,2,0,132,0,0.000993013381958,0.000993013381958,0.000993013381958,0.0,132928.72220888356,0,0,2,1,0,0,0,0,0
5,569.0985915492957,2048.0,,,4.0,0.0,0.0,552.7042253521126,9170.539906103286,1.0,0.0,0.0,84.11267605633803,6.0,20.0,1.0,22676,443,799.112676056338,20.225352112676056,0.0,185.8877780437469,213,121218,90,123,50658,70560,1.9073486328125e-06,0.8768291417157875,58.75901389122009,6.934695146848104,652.1031198268047,1,2,212,1,0,110,1,1,1
6,97.33333333333331,2048.0,,,4.0,0.0,0.0,83.33333333333333,1429.6666666666667,0.0,0.0,0.0,128.0,17.0,20.0,1.0,60813,53,,,1.0,0.1012890338897705,6,584,4,2,296,288,3.0994415283203125e-06,0.0202578067779541,0.0682559013366699,0.0271828218288203,5765.678450794069,1,0,0,0,0,0,0,0,0
7,149.5,2048.0,,,4.0,0.0,0.0,135.5,9855.0,0.0,0.0,0.0,191.5,17.0,20.0,1.0,60162,53,,,1.0,0.0608341693878173,2,299,1,1,98,201,0.0608341693878173,0.0608341693878173,0.0608341693878173,0.0,4915.000944516513,1,0,0,0,0,0,0,0,0
8,66.0,2048.0,,,4.0,2.0,0.0,52.0,14726.0,1.0,0.0,0.0,64.0,6.0,20.0,1.0,22,56738,243.0,32.0,1.0,0.0,1,66,1,0,66,0,,,,,,0,0,1,1,0,0,0,0,0
9,60.0,2048.0,,,4.0,0.0,0.0,40.0,18988.0,1.0,0.0,0.0,64.0,6.0,20.0,1.0,53199,443,0.0,20.0,1.0,0.0,1,60,1,0,60,0,,,,,,0,0,0,0,1,0,0,0,0
